Tranche d'âge,quartiers,population_count,arrondissements,secteur
11-17 ans,MALPASSÉ,1078,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,MALPASSÉ,987,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,MALPASSÉ,1694,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,MALPASSÉ,1741,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,MALPASSÉ,1170,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,MALPASSÉ,1188,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,MALPASSÉ,504,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES MÉDECINS,35,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES MÉDECINS,43,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LES MÉDECINS,86,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LES MÉDECINS,127,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LES MÉDECINS,80,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LES MÉDECINS,182,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LES MÉDECINS,333,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LES MÉDECINS,164,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LES MÉDECINS,238,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LES MÉDECINS,99,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES MOURETTES,36,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES MOURETTES,51,13EME ARRONDISSEMENT,7EME SECTEUR
